avg_runs_last_5,venue_avg_runs,opponent_avg_runs,career_avg_runs,matches_played,strike_rate,runs_next_match
1.6666666666666663,1.6666666666666663,2.25,2.106060606060606,1,16.666666666666664,0.4999999999999999
1.0833333333333333,3.25,2.5,2.106060606060606,2,16.666666666666664,1.333333333333333
1.1666666666666663,1.5166666666666664,2.055555555555556,2.106060606060606,3,16.666666666666664,1.6666666666666663
1.2916666666666663,1.5166666666666664,2.055555555555556,2.106060606060606,4,41.66666666666666,0.6666666666666665
1.1666666666666663,1.5166666666666664,2.208333333333333,2.106060606060606,5,13.33333333333333,1.1666666666666663
1.0666666666666669,1.5166666666666664,2.166666666666666,2.106060606060606,6,29.166666666666664,2.333333333333333
1.4333333333333331,1.5166666666666664,2.208333333333333,2.106060606060606,7,19.444444444444443,2.6666666666666665
1.6999999999999995,2.6666666666666665,2.0,2.106060606060606,8,29.629629629629623,0.6666666666666665
1.4999999999999998,0.6666666666666665,1.4166666666666663,2.106060606060606,9,13.33333333333333,3.166666666666666
2.0,3.166666666666666,2.166666666666666,2.106060606060606,10,21.111111111111107,1.1666666666666663
2.0,1.5166666666666664,2.055555555555556,2.106060606060606,11,16.666666666666664,6.0
2.733333333333333,3.25,2.5,2.106060606060606,12,37.5,2.333333333333333
2.6666666666666665,2.333333333333333,2.055555555555556,2.106060606060606,13,21.21212121212121,0.8333333333333333
2.7,1.5166666666666664,2.0,2.106060606060606,14,11.904761904761903,0.4999999999999998
2.1666666666666665,2.9166666666666665,2.208333333333333,2.106060606060606,15,12.499999999999996,2.1666666666666665
2.3666666666666663,2.333333333333333,2.055555555555556,2.106060606060606,16,24.074074074074076,2.5
1.6666666666666663,2.333333333333333,2.0,2.106060606060606,17,31.249999999999996,3.666666666666666
1.933333333333333,3.666666666666666,2.055555555555556,2.106060606060606,18,45.83333333333333,1.0
1.966666666666666,1.5166666666666664,2.5,2.106060606060606,19,16.666666666666664,2.833333333333333
2.4333333333333327,1.5166666666666664,2.25,2.106060606060606,20,18.88888888888889,5.333333333333333
3.066666666666666,2.9166666666666665,2.208333333333333,2.106060606060606,21,29.629629629629623,2.166666666666666
3.0,1.5166666666666664,1.4166666666666663,2.106060606060606,22,24.074074074074066,0.3333333333333332
8.999999999999998,4.0555555555555545,3.791666666666666,3.015151515151515,1,21.428571428571423,3.1666666666666665
6.083333333333332,1.5833333333333333,5.611111111111111,3.015151515151515,2,22.61904761904762,3.166666666666666
5.11111111111111,2.333333333333333,3.166666666666666,3.015151515151515,3,24.358974358974358,1.6666666666666663
4.249999999999999,2.333333333333333,2.333333333333333,3.015151515151515,4,55.55555555555555,0.833333333333333
